
protokol pro soutežící, písmeno "X" oddìluje pøedperiodu od periody

1/2=0.5X0

1/7=0.X142857

1/192= 0.005208X3

1/11= 0.X09

1/111= 0.X009

1/1111= 0.X0009

1/11111= 0.X00009

1/111111= 0.X000009

1/999999= 0.X000001

1/222222= 0.0X000045

1/10= 0.1X0

1/100= 0.01X0

1/1000= 0.001X0

1/10000= 0.0001X0

1/304= 0.0032X894736842105263157

1/336= 0.0029X761904

1/384= 0.0026041X6

1/12345= 0.0X000810044552450384771162413932766302146618063993519643580396921830700688537869582827055488051842851356824625354394491697043337383556095585257189145402997164844066423653300931551235317942486836776022681247468610773592547590117456460105305791818550020251113811259619279060348319157553665451599837991089509923045767517213446739570676387201296071283920615633859862292426083434588902389631429728635074929121101660591332523288780882948562170919400567031186715269339813689752936411502632644795463750506277845281490481976508707978938841636289995949777237748076144187930336168489266909680032401782098015390846496557310652085864722559740785743215876873228027541514783313082219522073714054272985014175779667881733495342243823410287565816119886593762656946132037262049412717699473471040907249898744430943701903604698258404212231672742

1/798720= 0.000001252003X205128

1/985088= 0.00000101513X773388

