Rok;Tyden;Teplota
1975;1;14
1975;2;15
1975;3;27
1975;4;6
1975;5;14
1975;6;19
1975;7;-21
1975;8;-27
1975;9;-42
1975;10;4
1975;11;25
1975;12;20
1975;13;-3
1975;14;3
1975;15;41
1975;16;20
1975;17;41
1975;18;42
1975;19;34
1975;20;71
1975;21;84
1975;22;59
1975;23;43
1975;24;73
1975;25;105
1975;26;108
1975;27;66
1975;28;98
1975;29;105
1975;30;93
1975;31;81
1975;32;97
1975;33;115
1975;34;102
1975;35;74
1975;36;99
1975;37;67
1975;38;73
1975;39;84
1975;40;98
1975;41;52
1975;42;16
1975;43;35
1975;44;16
1975;45;16
1975;46;18
1975;47;-4
1975;48;-28
1975;49;6
1975;50;0
1975;51;-6
1975;52;-14
1976;1;12
1976;2;-9
1976;3;21
1976;4;-9
1976;5;-24
1976;6;-28
1976;7;-28
1976;8;-23
1976;9;-16
1976;10;10
1976;11;-33
1976;12;-16
1976;13;-38
1976;14;23
1976;15;55
1976;16;17
1976;17;55
1976;18;22
1976;19;44
1976;20;88
1976;21;66
1976;22;56
1976;23;78
1976;24;66
1976;25;89
1976;26;104
1976;27;111
1976;28;109
1976;29;96
1976;30;136
1976;31;76
1976;32;65
1976;33;82
1976;34;86
1976;35;66
1976;36;102
1976;37;57
1976;38;71
1976;39;58
1976;40;47
1976;41;69
1976;42;77
1976;43;26
1976;44;19
1976;45;32
1976;46;51
1976;47;29
1976;48;0
1976;49;17
1976;50;-6
1976;51;-11
1976;52;-14
1977;1;-36
1977;2;-18
1977;3;-35
1977;4;-16
1977;5;-16
1977;6;-14
1977;7;1
1977;8;15
1977;9;25
1977;10;-21
1977;11;30
1977;12;28
1977;13;29
1977;14;52
1977;15;46
1977;16;-18
1977;17;19
1977;18;33
1977;19;83
1977;20;42
1977;21;49
1977;22;47
1977;23;67
1977;24;65
1977;25;99
1977;26;93
1977;27;80
1977;28;93
1977;29;83
1977;30;78
1977;31;101
1977;32;88
1977;33;103
1977;34;86
1977;35;83
1977;36;87
1977;37;85
1977;38;71
1977;39;38
1977;40;36
1977;41;42
1977;42;67
1977;43;23
1977;44;40
1977;45;38
1977;46;42
1977;47;17
1977;48;8
1977;49;-7
1977;50;-19
1977;51;-8
1977;52;-19
1978;1;-3
1978;2;-3
1978;3;-10
1978;4;-5
1978;5;-4
1978;6;-18
1978;7;-16
1978;8;-53
1978;9;-5
1978;10;19
1978;11;12
1978;12;3
1978;13;17
1978;14;55
1978;15;22
1978;16;9
1978;17;50
1978;18;55
1978;19;62
1978;20;31
1978;21;72
1978;22;75
1978;23;101
1978;24;63
1978;25;62
1978;26;58
1978;27;81
1978;28;61
1978;29;62
1978;30;66
1978;31;109
1978;32;97
1978;33;61
1978;34;75
1978;35;59
1978;36;55
1978;37;85
1978;38;83
1978;39;72
1978;40;39
1978;41;51
1978;42;40
1978;43;26
1978;44;43
1978;45;27
1978;46;-7
1978;47;23
1978;48;7
1978;49;-6
1978;50;17
1978;51;-8
1978;52;-10
1979;1;-91
1979;2;-78
1979;3;-23
1979;4;-45
1979;5;-12
1979;6;-12
1979;7;-38
1979;8;2
1979;9;-22
1979;10;26
1979;11;-8
1979;12;16
1979;13;21
1979;14;13
1979;15;0
1979;16;58
1979;17;40
1979;18;31
1979;19;20
1979;20;54
1979;21;106
1979;22;105
1979;23;119
1979;24;93
1979;25;58
1979;26;109
1979;27;69
1979;28;71
1979;29;84
1979;30;79
1979;31;99
1979;32;83
1979;33;76
1979;34;84
1979;35;54
1979;36;88
1979;37;88
1979;38;40
1979;39;35
1979;40;36
1979;41;35
1979;42;57
1979;43;27
1979;44;8
1979;45;2
1979;46;6
1979;47;4
1979;48;0
1979;49;34
1979;50;34
1979;51;15
1979;52;21
1980;1;-9
1980;2;-31
1980;3;-82
1980;4;-24
1980;5;-27
1980;6;11
1980;7;6
1980;8;2
1980;9;-1
1980;10;13
1980;11;-4
1980;12;27
