Cas: 0.00, X: 100.00, Y: 60.00, V_X: 0.00, V_Y: -5.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.10, X: 100.00, Y: 59.46, V_X: 0.00, V_Y: -5.70, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.44, X: 100.00, Y: 57.13, V_X: 0.00, V_Y: -8.08, P: 14.66, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 0.51, X: 100.00, Y: 56.55, V_X: 0.00, V_Y: -7.71, P: 14.51, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.60, X: 100.00, Y: 55.82, V_X: 0.00, V_Y: -8.34, P: 14.42, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 0.69, X: 100.00, Y: 55.08, V_X: 0.00, V_Y: -7.89, P: 14.24, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.78, X: 100.00, Y: 54.34, V_X: 0.00, V_Y: -8.52, P: 14.15, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 0.97, X: 100.00, Y: 52.86, V_X: 0.00, V_Y: -7.60, P: 13.78, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.07, X: 100.00, Y: 52.09, V_X: 0.00, V_Y: -8.28, P: 13.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.14, X: 100.00, Y: 51.50, V_X: 0.00, V_Y: -7.91, P: 13.54, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.19, X: 100.00, Y: 51.10, V_X: 0.00, V_Y: -8.25, P: 13.49, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.26, X: 100.00, Y: 50.53, V_X: 0.00, V_Y: -7.91, P: 13.35, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.33, X: 100.00, Y: 49.98, V_X: 0.00, V_Y: -8.38, P: 13.28, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.47, X: 100.00, Y: 48.82, V_X: 0.00, V_Y: -7.66, P: 12.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.56, X: 100.00, Y: 48.08, V_X: 0.00, V_Y: -8.31, P: 12.90, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.66, X: 100.00, Y: 47.34, V_X: 0.00, V_Y: -7.85, P: 12.72, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.75, X: 100.00, Y: 46.58, V_X: 0.00, V_Y: -8.49, P: 12.62, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.89, X: 100.00, Y: 45.39, V_X: 0.00, V_Y: -7.76, P: 12.33, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.98, X: 100.00, Y: 44.74, V_X: 0.00, V_Y: -8.33, P: 12.25, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.07, X: 100.00, Y: 44.00, V_X: 0.00, V_Y: -7.87, P: 12.07, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.15, X: 100.00, Y: 43.34, V_X: 0.00, V_Y: -8.44, P: 11.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.32, X: 100.00, Y: 41.94, V_X: 0.00, V_Y: -7.56, P: 11.64, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.39, X: 100.00, Y: 41.41, V_X: 0.00, V_Y: -8.04, P: 11.57, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.47, X: 100.00, Y: 40.80, V_X: 0.00, V_Y: -7.65, P: 11.41, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.56, X: 100.00, Y: 40.07, V_X: 0.00, V_Y: -8.29, P: 11.32, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 3.47, X: 100.00, Y: 34.59, V_X: 0.00, V_Y: -3.72, P: 9.49, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 3.54, X: 100.00, Y: 34.32, V_X: 0.00, V_Y: -4.19, P: 9.43, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 3.61, X: 100.00, Y: 34.05, V_X: 0.00, V_Y: -3.85, P: 9.29, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 3.68, X: 100.00, Y: 33.74, V_X: 0.00, V_Y: -4.37, P: 9.21, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 3.78, X: 100.00, Y: 33.36, V_X: 0.00, V_Y: -3.92, P: 9.03, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 3.85, X: 100.00, Y: 33.04, V_X: 0.00, V_Y: -4.45, P: 8.96, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.02, X: 100.00, Y: 32.38, V_X: 0.00, V_Y: -3.63, P: 8.63, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.11, X: 100.00, Y: 32.03, V_X: 0.00, V_Y: -4.25, P: 8.54, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.19, X: 100.00, Y: 31.68, V_X: 0.00, V_Y: -3.82, P: 8.37, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.28, X: 100.00, Y: 31.30, V_X: 0.00, V_Y: -4.46, P: 8.27, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.43, X: 100.00, Y: 30.71, V_X: 0.00, V_Y: -3.74, P: 7.98, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.52, X: 100.00, Y: 30.34, V_X: 0.00, V_Y: -4.37, P: 7.89, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.59, X: 100.00, Y: 30.03, V_X: 0.00, V_Y: -3.99, P: 7.75, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.66, X: 100.00, Y: 29.74, V_X: 0.00, V_Y: -4.48, P: 7.68, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.82, X: 100.00, Y: 29.11, V_X: 0.00, V_Y: -3.71, P: 7.37, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.89, X: 100.00, Y: 28.79, V_X: 0.00, V_Y: -4.26, P: 7.29, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.97, X: 100.00, Y: 28.49, V_X: 0.00, V_Y: -3.89, P: 7.14, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.04, X: 100.00, Y: 28.20, V_X: 0.00, V_Y: -4.37, P: 7.07, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.17, X: 100.00, Y: 27.67, V_X: 0.00, V_Y: -3.72, P: 6.81, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.25, X: 100.00, Y: 27.36, V_X: 0.00, V_Y: -4.26, P: 6.73, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.33, X: 100.00, Y: 27.02, V_X: 0.00, V_Y: -3.84, P: 6.56, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.40, X: 100.00, Y: 26.76, V_X: 0.00, V_Y: -4.29, P: 6.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.48, X: 100.00, Y: 26.41, V_X: 0.00, V_Y: -3.87, P: 6.33, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.54, X: 100.00, Y: 26.16, V_X: 0.00, V_Y: -4.30, P: 6.27, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.66, X: 100.00, Y: 25.68, V_X: 0.00, V_Y: -3.69, P: 6.02, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.73, X: 100.00, Y: 25.42, V_X: 0.00, V_Y: -4.14, P: 5.96, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.81, X: 100.00, Y: 25.12, V_X: 0.00, V_Y: -3.75, P: 5.80, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.88, X: 100.00, Y: 24.82, V_X: 0.00, V_Y: -4.28, P: 5.73, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.96, X: 100.00, Y: 24.48, V_X: 0.00, V_Y: -3.86, P: 5.56, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.03, X: 100.00, Y: 24.21, V_X: 0.00, V_Y: -4.33, P: 5.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.16, X: 100.00, Y: 23.69, V_X: 0.00, V_Y: -3.69, P: 5.24, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.22, X: 100.00, Y: 23.45, V_X: 0.00, V_Y: -4.12, P: 5.18, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.30, X: 100.00, Y: 23.14, V_X: 0.00, V_Y: -3.71, P: 5.02, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.37, X: 100.00, Y: 22.85, V_X: 0.00, V_Y: -4.21, P: 4.95, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.44, X: 100.00, Y: 22.56, V_X: 0.00, V_Y: -3.85, P: 4.80, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.51, X: 100.00, Y: 22.30, V_X: 0.00, V_Y: -4.30, P: 4.74, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.63, X: 100.00, Y: 21.82, V_X: 0.00, V_Y: -3.70, P: 4.50, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.69, X: 100.00, Y: 21.58, V_X: 0.00, V_Y: -4.11, P: 4.44, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
