Cas: 0.00, X: 70.00, Y: 100.00, V_X: -1.00, V_Y: 0.00, P: 20.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.45, X: 69.55, Y: 99.30, V_X: -1.00, V_Y: -3.14, P: 20.00, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.50, X: 69.50, Y: 99.15, V_X: -1.00, V_Y: -2.89, P: 19.95, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.53, X: 69.47, Y: 99.04, V_X: -1.00, V_Y: -3.14, P: 19.95, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.58, X: 69.42, Y: 98.90, V_X: -1.00, V_Y: -2.91, P: 19.90, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.62, X: 69.38, Y: 98.79, V_X: -1.00, V_Y: -3.15, P: 19.90, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.66, X: 69.34, Y: 98.65, V_X: -1.00, V_Y: -2.91, P: 19.86, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.70, X: 69.30, Y: 98.55, V_X: -1.00, V_Y: -3.15, P: 19.86, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.74, X: 69.26, Y: 98.40, V_X: -1.00, V_Y: -2.92, P: 19.81, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.77, X: 69.23, Y: 98.33, V_X: -1.00, V_Y: -3.08, P: 19.81, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.80, X: 69.20, Y: 98.23, V_X: -1.00, V_Y: -2.91, P: 19.77, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.84, X: 69.16, Y: 98.12, V_X: -1.00, V_Y: -3.15, P: 19.77, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.89, X: 69.11, Y: 97.98, V_X: -1.00, V_Y: -2.92, P: 19.73, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.92, X: 69.08, Y: 97.87, V_X: -1.00, V_Y: -3.17, P: 19.73, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.97, X: 69.03, Y: 97.72, V_X: -1.00, V_Y: -2.93, P: 19.68, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.99, X: 69.01, Y: 97.64, V_X: -1.00, V_Y: -3.10, P: 19.68, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.03, X: 68.97, Y: 97.54, V_X: -1.00, V_Y: -2.92, P: 19.64, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.05, X: 68.95, Y: 97.47, V_X: -1.00, V_Y: -3.08, P: 19.64, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.09, X: 68.91, Y: 97.36, V_X: -1.00, V_Y: -2.91, P: 19.61, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.12, X: 68.88, Y: 97.25, V_X: -1.00, V_Y: -3.15, P: 19.61, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.17, X: 68.83, Y: 97.10, V_X: -1.00, V_Y: -2.90, P: 19.56, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.21, X: 68.79, Y: 96.99, V_X: -1.00, V_Y: -3.15, P: 19.56, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
